mountain_letter,mountain,site,site_letter,lat,long,elev,elev_num,elev_grouping_1,elev_grouping_2
DK,Dako,DKA1,A,1.08846,120.8848,338,500,< 500m,Low ( < 700m)
DK,Dako,DKA2,A,1.0755,120.889,495,500,< 500m,Low ( < 700m)
DK,Dako,DKB1,B,1.06264,120.8986,974,1000,500 - 1000m,Mid (700 - 1400m)
DK,Dako,DKB2,B,1.06212,120.8995,992,1000,500 - 1000m,Mid (700 - 1400m)
DK,Dako,DKC1,C,1.05335,120.9087,1380,1500,1000 - 1500m,Mid (700 - 1400m)
DK,Dako,DKC2,C,1.05325,120.9099,1435,1500,1000 - 1500m,High ( > 1400m)
DK,Dako,DKD1,D,1.0497,120.9168,1751,2000,1500 - 2000m,High ( > 1400m)
DK,Dako,DKD2,D,1.05043,120.918,1743,2000,1500 - 2000m,High ( > 1400m)
DK,Dako,DKE1,E,1.06016,120.9349,2238,2500,>2000m,High ( > 1400m)
DK,Dako,DKE2,E,1.05991,120.9344,2238,2500,>2000m,High ( > 1400m)
TPP,Torompupu,TPPA1,A,-1.40231,119.94553,642,1000,500 - 1000m,Low ( < 700m)
TPP,Torompupu,TPPA2,A,-1.40133,119.94604,646,1000,500 - 1000m,Low ( < 700m)
TPP,Torompupu,TPPA3,A,-1.40321,119.94418,656,1000,500 - 1000m,Low ( < 700m)
TPP,Torompupu,TPPB1,B,-1.41847,119.93033,999,1000,500 - 1000m,Mid (700 - 1400m)
TPP,Torompupu,TPPC1,C,-1.42122,119.89886,1370,1500,1000 - 1500m,Mid (700 - 1400m)
TPP,Torompupu,TPPC2,C,-1.42184,119.8963,1335,1500,1000 - 1500m,Mid (700 - 1400m)
TPP,Torompupu,TPPD1,D,-1.4182,119.88037,1860,2000,1500 - 2000m,High ( > 1400m)
TPP,Torompupu,TPPE1,E,-1.41179,119.86735,2227,2500,>2000m,High ( > 1400m)
GOR,Ilomata,GORA1,A,0.70341,123.19065,324,500,< 500m,Low ( < 700m)
GOR,Ilomata,GORA2,A,0.70129,123.18825,320,500,< 500m,Low ( < 700m)
GOR,Ilomata,GORB1,B,0.71615,123.1854,873,1000,500 - 1000m,Mid (700 - 1400m)
GOR,Ilomata,GORB2,B,0.71681,123.18739,902,1000,500 - 1000m,Mid (700 - 1400m)
GOR,Ilomata,GORC1,C,0.72815,123.19432,1211,1500,1000 - 1500m,Mid (700 - 1400m)
